Región,CIE-10,Causa de Muerte,Sexo, < 1  , 1 a 4  , 5 a 9  , 10 a 19  , 20 a 44  , 45 a 64  , 65 a 79  , 80 y Más  
De Arica y Parinacota, A00-B99, Ciertas enfermedades infecciosas y parasitarias,Hombre,0,0,0,0,5,3,4,3
De Arica y Parinacota, A00-B99, Ciertas enfermedades infecciosas y parasitarias,Mujer,1,0,0,0,1,7,2,3
De Arica y Parinacota, C00-D48, Tumores (neoplasias),Hombre,0,0,0,0,6,39,58,37
De Arica y Parinacota, C00-D48, Tumores (neoplasias),Mujer,0,0,0,1,11,27,80,35
De Arica y Parinacota, E00-E90," Enfermedades endocrinas, nutricionales y metabólicas",Hombre,0,0,0,0,0,11,20,6
De Arica y Parinacota, E00-E90," Enfermedades endocrinas, nutricionales y metabólicas",Mujer,0,0,0,0,2,10,19,21
De Arica y Parinacota, F00-F90, Trastornos mentales y del comportamiento,Hombre,0,0,0,0,4,4,5,3
De Arica y Parinacota, F00-F90, Trastornos mentales y del comportamiento,Mujer,0,0,0,0,1,0,0,19
De Arica y Parinacota, G00-G99, Enfermedades del sistema nervioso,Hombre,1,0,0,0,1,2,4,5
De Arica y Parinacota, G00-G99, Enfermedades del sistema nervioso,Mujer,0,0,1,0,3,3,5,8
De Arica y Parinacota, I00-I99, Enfermedades del sistema circulatorio,Hombre,0,0,0,1,6,34,59,47
De Arica y Parinacota, I00-I99, Enfermedades del sistema circulatorio,Mujer,0,0,0,0,2,13,41,80
De Arica y Parinacota, J00-J99, Enfermedades del sistema respiratorio,Hombre,0,0,0,0,0,3,7,30
De Arica y Parinacota, J00-J99, Enfermedades del sistema respiratorio,Mujer,0,0,0,0,2,6,12,34
De Arica y Parinacota, K00-K93, Enfermedades del sistema digestivo,Hombre,0,0,0,0,3,19,26,5
De Arica y Parinacota, K00-K93, Enfermedades del sistema digestivo,Mujer,0,0,0,0,2,5,8,12
De Arica y Parinacota, N00-N99, Enfermedades del sistema genitourinario,Hombre,0,0,0,0,0,1,9,6
De Arica y Parinacota, N00-N99, Enfermedades del sistema genitourinario,Mujer,0,0,0,0,0,3,6,13
De Arica y Parinacota, P00-P96, Ciertas afecciones originadas en el período perinatal,Hombre,10,0,0,0,0,0,0,0
De Arica y Parinacota, P00-P96, Ciertas afecciones originadas en el período perinatal,Mujer,2,0,0,0,0,0,0,0
De Arica y Parinacota, Q00-Q99," Malformaciones congénitas, deformidades y anomalías cromosómicas",Hombre,7,1,0,0,1,0,0,0
De Arica y Parinacota, Q00-Q99," Malformaciones congénitas, deformidades y anomalías cromosómicas",Mujer,9,0,0,0,0,0,0,0
De Arica y Parinacota, R00-R99," Síntomas, signos y hallazgos anormales clínicos y de laboratorio no clasificados en otra parte",Hombre,0,0,0,1,3,1,1,8
De Arica y Parinacota, R00-R99," Síntomas, signos y hallazgos anormales clínicos y de laboratorio no clasificados en otra parte",Mujer,1,0,0,0,2,0,1,16
De Arica y Parinacota, V00-Y98, Causas externas de mortalidad,Hombre,2,3,0,3,37,31,9,6
De Arica y Parinacota, V00-Y98, Causas externas de mortalidad,Mujer,1,4,0,1,2,9,8,2
De Arica y Parinacota,,Resto de causas,Hombre,0,0,0,0,0,3,3,1
De Arica y Parinacota,,Resto de causas,Mujer,1,0,0,0,1,3,1,4
De Tarapacá, A00-B99, Ciertas enfermedades infecciosas y parasitarias,Hombre,0,0,0,0,14,12,3,1
De Tarapacá, A00-B99, Ciertas enfermedades infecciosas y parasitarias,Mujer,0,0,0,0,4,2,3,3
De Tarapacá, C00-D48, Tumores (neoplasias),Hombre,0,0,0,2,9,68,62,49
De Tarapacá, C00-D48, Tumores (neoplasias),Mujer,1,0,0,1,4,37,56,45
De Tarapacá, E00-E90," Enfermedades endocrinas, nutricionales y metabólicas",Hombre,0,0,0,0,3,11,14,4
De Tarapacá, E00-E90," Enfermedades endocrinas, nutricionales y metabólicas",Mujer,0,0,0,0,4,7,10,12
De Tarapacá, F00-F90, Trastornos mentales y del comportamiento,Hombre,0,0,0,0,0,0,6,12
De Tarapacá, F00-F90, Trastornos mentales y del comportamiento,Mujer,0,0,0,0,0,1,6,19
De Tarapacá, G00-G99, Enfermedades del sistema nervioso,Hombre,0,0,0,0,2,4,5,9
De Tarapacá, G00-G99, Enfermedades del sistema nervioso,Mujer,0,1,0,0,1,0,9,20
De Tarapacá, I00-I99, Enfermedades del sistema circulatorio,Hombre,0,0,0,0,9,54,65,53
De Tarapacá, I00-I99, Enfermedades del sistema circulatorio,Mujer,0,0,0,1,3,23,50,67
De Tarapacá, J00-J99, Enfermedades del sistema respiratorio,Hombre,0,0,0,0,1,8,14,19
De Tarapacá, J00-J99, Enfermedades del sistema respiratorio,Mujer,1,0,0,1,1,7,13,26
De Tarapacá, K00-K93, Enfermedades del sistema digestivo,Hombre,0,0,0,0,4,29,21,6
De Tarapacá, K00-K93, Enfermedades del sistema digestivo,Mujer,0,0,0,0,5,4,17,17
De Tarapacá, N00-N99, Enfermedades del sistema genitourinario,Hombre,1,0,0,0,1,3,5,12
De Tarapacá, N00-N99, Enfermedades del sistema genitourinario,Mujer,0,0,0,0,0,2,6,7
De Tarapacá, P00-P96, Ciertas afecciones originadas en el período perinatal,Hombre,10,0,0,0,0,0,0,0
De Tarapacá, P00-P96, Ciertas afecciones originadas en el período perinatal,Mujer,8,0,0,0,0,0,0,0
De Tarapacá, Q00-Q99," Malformaciones congénitas, deformidades y anomalías cromosómicas",Hombre,5,0,0,0,1,1,0,0
De Tarapacá, Q00-Q99," Malformaciones congénitas, deformidades y anomalías cromosómicas",Mujer,8,0,0,0,0,0,0,0
De Tarapacá, R00-R99," Síntomas, signos y hallazgos anormales clínicos y de laboratorio no clasificados en otra parte",Hombre,2,0,0,0,3,8,3,12
De Tarapacá, R00-R99," Síntomas, signos y hallazgos anormales clínicos y de laboratorio no clasificados en otra parte",Mujer,5,1,0,0,1,0,6,19
De Tarapacá, V00-Y98, Causas externas de mortalidad,Hombre,0,0,2,9,41,28,8,6
De Tarapacá, V00-Y98, Causas externas de mortalidad,Mujer,0,1,0,1,13,5,4,7
De Tarapacá,,Resto de causas,Hombre,0,0,0,0,1,2,2,3
De Tarapacá,,Resto de causas,Mujer,0,0,0,0,2,1,0,4
De Antofagasta, A00-B99, Ciertas enfermedades infecciosas y parasitarias,Hombre,0,0,0,0,14,17,4,5
De Antofagasta, A00-B99, Ciertas enfermedades infecciosas y parasitarias,Mujer,1,0,0,0,2,8,6,9
De Antofagasta, C00-D48, Tumores (neoplasias),Hombre,0,0,0,3,17,151,194,114
De Antofagasta, C00-D48, Tumores (neoplasias),Mujer,1,0,0,0,6,105,129,122
De Antofagasta, E00-E90," Enfermedades endocrinas, nutricionales y metabólicas",Hombre,0,0,0,0,4,23,26,16
De Antofagasta, E00-E90," Enfermedades endocrinas, nutricionales y metabólicas",Mujer,0,0,0,0,3,18,31,17
De Antofagasta, F00-F90, Trastornos mentales y del comportamiento,Hombre,0,0,0,0,2,5,10,21
De Antofagasta, F00-F90, Trastornos mentales y del comportamiento,Mujer,0,0,0,0,1,2,11,56
De Antofagasta, G00-G99, Enfermedades del sistema nervioso,Hombre,0,2,1,0,3,9,13,5
De Antofagasta, G00-G99, Enfermedades del sistema nervioso,Mujer,0,1,1,1,0,7,11,17
De Antofagasta, I00-I99, Enfermedades del sistema circulatorio,Hombre,1,0,0,1,25,96,134,87
De Antofagasta, I00-I99, Enfermedades del sistema circulatorio,Mujer,0,0,0,1,13,53,92,143
De Antofagasta, J00-J99, Enfermedades del sistema respiratorio,Hombre,4,0,0,0,9,26,42,51
De Antofagasta, J00-J99, Enfermedades del sistema respiratorio,Mujer,4,0,0,1,2,15,47,64
De Antofagasta, K00-K93, Enfermedades del sistema digestivo,Hombre,1,0,0,0,10,60,36,15
De Antofagasta, K00-K93, Enfermedades del sistema digestivo,Mujer,0,1,0,0,5,19,21,15
De Antofagasta, N00-N99, Enfermedades del sistema genitourinario,Hombre,1,0,0,0,2,8,16,8
De Antofagasta, N00-N99, Enfermedades del sistema genitourinario,Mujer,0,0,0,0,1,7,10,16
De Antofagasta, P00-P96, Ciertas afecciones originadas en el período perinatal,Hombre,25,0,0,0,0,0,0,0
De Antofagasta, P00-P96, Ciertas afecciones originadas en el período perinatal,Mujer,12,0,0,0,1,0,0,0
De Antofagasta, Q00-Q99," Malformaciones congénitas, deformidades y anomalías cromosómicas",Hombre,12,2,0,0,1,0,0,0
De Antofagasta, Q00-Q99," Malformaciones congénitas, deformidades y anomalías cromosómicas",Mujer,16,3,0,0,1,0,0,0
De Antofagasta, R00-R99," Síntomas, signos y hallazgos anormales clínicos y de laboratorio no clasificados en otra parte",Hombre,3,0,0,1,5,11,4,9
De Antofagasta, R00-R99," Síntomas, signos y hallazgos anormales clínicos y de laboratorio no clasificados en otra parte",Mujer,1,0,0,0,2,2,7,40
De Antofagasta, V00-Y98, Causas externas de mortalidad,Hombre,1,5,3,13,86,45,11,4
De Antofagasta, V00-Y98, Causas externas de mortalidad,Mujer,0,2,5,7,20,10,9,18
De Antofagasta,,Resto de causas,Hombre,0,1,0,0,1,2,4,1
De Antofagasta,,Resto de causas,Mujer,1,0,0,1,2,5,7,10
De Atacama, A00-B99, Ciertas enfermedades infecciosas y parasitarias,Hombre,0,0,0,0,1,1,5,4
De Atacama, A00-B99, Ciertas enfermedades infecciosas y parasitarias,Mujer,0,0,0,0,1,5,6,4
De Atacama, C00-D48, Tumores (neoplasias),Hombre,0,0,2,1,7,47,103,53
De Atacama, C00-D48, Tumores (neoplasias),Mujer,0,1,0,0,14,37,55,40
De Atacama, E00-E90," Enfermedades endocrinas, nutricionales y metabólicas",Hombre,0,0,0,0,5,10,8,8
De Atacama, E00-E90," Enfermedades endocrinas, nutricionales y metabólicas",Mujer,0,0,0,0,1,16,8,11
De Atacama, F00-F90, Trastornos mentales y del comportamiento,Hombre,0,0,0,0,1,4,2,3
De Atacama, F00-F90, Trastornos mentales y del comportamiento,Mujer,0,0,0,0,1,0,0,18
De Atacama, G00-G99, Enfermedades del sistema nervioso,Hombre,0,0,2,1,5,2,4,4
De Atacama, G00-G99, Enfermedades del sistema nervioso,Mujer,0,1,0,0,0,1,6,13
De Atacama, I00-I99, Enfermedades del sistema circulatorio,Hombre,0,0,0,1,6,51,68,89
De Atacama, I00-I99, Enfermedades del sistema circulatorio,Mujer,0,0,1,0,1,29,68,100
De Atacama, J00-J99, Enfermedades del sistema respiratorio,Hombre,0,0,0,0,1,14,39,51
De Atacama, J00-J99, Enfermedades del sistema respiratorio,Mujer,2,1,0,0,1,4,15,35
De Atacama, K00-K93, Enfermedades del sistema digestivo,Hombre,0,0,0,0,4,26,11,7
De Atacama, K00-K93, Enfermedades del sistema digestivo,Mujer,0,0,0,0,3,9,17,23
De Atacama, N00-N99, Enfermedades del sistema genitourinario,Hombre,0,0,0,0,1,2,11,8
De Atacama, N00-N99, Enfermedades del sistema genitourinario,Mujer,0,0,0,0,3,1,9,7
De Atacama, P00-P96, Ciertas afecciones originadas en el período perinatal,Hombre,13,0,0,0,0,0,0,0
De Atacama, P00-P96, Ciertas afecciones originadas en el período perinatal,Mujer,10,0,0,0,0,0,0,0
De Atacama, Q00-Q99," Malformaciones congénitas, deformidades y anomalías cromosómicas",Hombre,6,1,0,0,0,0,0,0
De Atacama, Q00-Q99," Malformaciones congénitas, deformidades y anomalías cromosómicas",Mujer,6,1,0,0,0,0,1,0
De Atacama, R00-R99," Síntomas, signos y hallazgos anormales clínicos y de laboratorio no clasificados en otra parte",Hombre,0,0,0,0,1,1,3,9
De Atacama, R00-R99," Síntomas, signos y hallazgos anormales clínicos y de laboratorio no clasificados en otra parte",Mujer,3,0,0,0,0,0,0,22
De Atacama, V00-Y98, Causas externas de mortalidad,Hombre,0,0,1,5,40,23,7,3
De Atacama, V00-Y98, Causas externas de mortalidad,Mujer,1,1,0,5,6,7,6,2
De Atacama,,Resto de causas,Hombre,0,0,0,0,1,2,1,5
De Atacama,,Resto de causas,Mujer,0,0,0,1,2,2,4,4
De Coquimbo, A00-B99, Ciertas enfermedades infecciosas y parasitarias,Hombre,0,0,0,0,10,22,23,20
De Coquimbo, A00-B99, Ciertas enfermedades infecciosas y parasitarias,Mujer,1,0,0,0,1,8,20,18
De Coquimbo, C00-D48, Tumores (neoplasias),Hombre,0,1,0,4,17,115,238,172
De Coquimbo, C00-D48, Tumores (neoplasias),Mujer,0,1,0,3,31,133,203,143
De Coquimbo, E00-E90," Enfermedades endocrinas, nutricionales y metabólicas",Hombre,0,1,0,2,2,14,40,39
De Coquimbo, E00-E90," Enfermedades endocrinas, nutricionales y metabólicas",Mujer,1,0,0,0,2,19,42,49
De Coquimbo, F00-F90, Trastornos mentales y del comportamiento,Hombre,0,0,0,0,1,2,5,18
De Coquimbo, F00-F90, Trastornos mentales y del comportamiento,Mujer,0,0,0,0,0,3,7,35
De Coquimbo, G00-G99, Enfermedades del sistema nervioso,Hombre,0,2,0,2,8,9,16,15
De Coquimbo, G00-G99, Enfermedades del sistema nervioso,Mujer,0,1,0,3,4,4,12,30
De Coquimbo, I00-I99, Enfermedades del sistema circulatorio,Hombre,0,0,1,1,13,114,210,224
De Coquimbo, I00-I99, Enfermedades del sistema circulatorio,Mujer,0,0,0,1,6,44,147,313
De Coquimbo, J00-J99, Enfermedades del sistema respiratorio,Hombre,1,0,0,1,5,14,76,104
De Coquimbo, J00-J99, Enfermedades del sistema respiratorio,Mujer,3,0,0,0,2,17,25,113
De Coquimbo, K00-K93, Enfermedades del sistema digestivo,Hombre,2,0,0,0,9,38,45,31
