Región,Código Muerte,Sexo,0 a 4,5 a 9,10 a 14,15 a 19,20 a 24,25 a 29,30 a 34,35 a 39,40 a 44,45 a 49,50 a 54,55 a 59,60 a 64,65 a 69,70 a 74,75 a 79,80 +,Indeterminado
De Arica y Parinacota, A00-B99,Hombres,0,0,0,0,0,2,3,2,3,3,2,2,2,0,1,1,4,0
De Arica y Parinacota, A00-B99,Mujeres,1,0,0,0,0,0,0,0,2,4,2,0,2,3,3,1,2,0
De Arica y Parinacota, A00-B99,Indeterminado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
De Arica y Parinacota, C00-D48,Hombres,0,0,0,1,0,0,1,2,2,4,6,12,18,27,41,30,40,0
De Arica y Parinacota, C00-D48,Mujeres,0,0,0,1,0,0,2,4,6,6,14,15,13,10,26,33,43,0
De Arica y Parinacota, C00-D48,Indeterminado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
De Arica y Parinacota, E00-E90,Hombres,0,0,0,0,0,0,0,0,0,0,0,3,3,4,6,10,12,0
De Arica y Parinacota, E00-E90,Mujeres,0,0,1,0,0,0,0,0,1,1,0,1,3,3,4,4,14,0
De Arica y Parinacota, E00-E90,Indeterminado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
De Arica y Parinacota, F00-F90,Hombres,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,1,2,0
De Arica y Parinacota, F00-F90,Mujeres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0
De Arica y Parinacota, F00-F90,Indeterminado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
De Arica y Parinacota, G00-G99,Hombres,1,0,0,2,0,0,0,1,1,0,1,1,1,0,2,4,9,0
De Arica y Parinacota, G00-G99,Mujeres,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,3,9,0
De Arica y Parinacota, G00-G99,Indeterminado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
De Arica y Parinacota, I00-I99,Hombres,0,0,0,0,1,0,1,0,2,4,5,9,11,13,15,20,55,0
De Arica y Parinacota, I00-I99,Mujeres,0,0,0,1,0,0,0,0,0,1,2,3,8,4,10,19,62,0
De Arica y Parinacota, J00-J99,Indeterminado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
De Arica y Parinacota, J00-J99,Hombres,0,0,0,0,0,0,0,0,0,1,1,1,2,5,8,8,27,0
De Arica y Parinacota, J00-J99,Mujeres,0,0,0,0,0,0,0,0,0,0,1,0,3,3,8,7,28,0
De Arica y Parinacota, J00-J99,Indeterminado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
De Arica y Parinacota, K00-K93,Hombres,0,0,0,0,0,0,1,0,6,5,8,10,9,2,7,5,8,0
De Arica y Parinacota, K00-K93,Mujeres,0,0,0,0,0,0,0,1,0,2,0,5,2,4,6,5,6,0
De Arica y Parinacota, K00-K93,Indeterminado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
De Arica y Parinacota, N00-N99,Hombres,0,0,0,0,0,0,0,0,0,1,1,2,0,0,4,2,8,0
De Arica y Parinacota, N00-N99,Mujeres,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,3,18,0
De Arica y Parinacota, N00-N99,Indeterminado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
De Arica y Parinacota, P00-P96,Hombres,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
De Arica y Parinacota, P00-P96,Mujeres,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
De Arica y Parinacota, P00-P96,Indeterminado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
De Arica y Parinacota, Q00-Q99,Hombres,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
De Arica y Parinacota, Q00-Q99,Mujeres,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
De Arica y Parinacota, Q00-Q99,Indeterminado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
De Arica y Parinacota, R00-R99,Hombres,3,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,9,0
De Arica y Parinacota, R00-R99,Mujeres,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,21,0
